page,section_title,text
ALT,Music,"ALT (band), Andy White, Liam Ó Maonlaí, Tim Finn
ALT (album), a 2012 music album by Van der Graaf Generator
ALT (EP), a 2015 EP by Vanna
Alt-J, band
in alt, singing in the octave above the treble staff (G5 to F6)
ALT, a robotic singer with songs in the Bemani game series including Pop'n Music, Reflec Beat and Jubeat"
ALT,Technology,"Southern Altai language (ISO-639-3 code ""alt"")
Alt attribute, in HTML computer language
Alt key, on a computer keyboard
ALT Linux, computer software
alt.* hierarchy, in USENET newsgroups"
ALT,Other,"Altbier, German beer
Alt (film), a 2013 Venezuelan short film
Alt-right, an abbreviation of alternative right, a loosely connected far-right, white nationalist movement based largely in the United States"
ALT,Summary,Alt or ALT may refer to:
AST,Science and technology,"Attention schema theory, of consciousness or subjective awareness"
AST,Organizations,"Allied Security Trust, a patent holding company
AST Research, a defunct personal computer manufacturer
Association for Software Testing, US
AST (publisher), a Russian book publishing company
Arsenal Supporters' Trust, English football club supporters"
AST,Education,"ACT Scaling Test, for year 12 students, Australia
Advanced Skills Teacher, a teaching role in England and Wales
Air Service Training, a flight engineering training school
American School in Taichung, an international school in Taichung, Taiwan
American School of Tangier
American School of Tegucigalpa
American School of Tripoli
Atlantic School of Theology, Halifax, Nova Scotia, Canada
Avalanche Skills Training, Canada
Conroe ISD Academy of Science and Technology, Texas, US"
AST,Transport,"Aldershot GO Station, Amtrak station code AST
Astoria Regional Airport (FAA Identifier and IATA code AST), Clatsop County, Oregon, US
Aston railway station (National Rail code), Birmingham, England"
AST,Time zones,"Atlantic Standard Time, UTC−4
Alaska Standard Time, UTC−9
Arabia Standard Time, UTC+3
Antigua and Barbuda Time, UTC−4"
AST,Other uses,"Aviation Survival Technician, a US Coast Guard rating
AST Research, Inc., as known as AST Computer, a personal computer manufacturer
Asti, Italian province and city (was traditionally Ast in the Piemontese dialect)
Assured shorthold tenancy, UK
Asturian language (ISO 639 alpha-3: ast), Spain
Astana Pro Team (UCI code AST), a professional road bicycle racing team
Georg Anton Friedrich Ast, German philosopher and philologist (1778–1841)
Pat Ast, American actress and model (1941-2001)"
AST,Summary,"AST, Ast, or ast may refer to:"
Abdominal pain,Signs and symptoms,"The onset of abdominal pain can be abrupt, quick, or gradual. Sudden onset pain happens in a split second. Rapidly onset pain starts mild and gets worse over the next few minutes. Pain that gradually intensifies only after several hours or even days has passed is referred to as gradual onset pain.
One can describe abdominal pain as either continuous or sporadic and as cramping, dull, or aching. The characteristic of cramping abdominal pain is that it comes in brief waves, builds to a peak, and then abruptly stops for a period during which there is no more pain. The pain flares up and off periodically. The most common cause of persistent dull or aching abdominal pain is edema or distention of the wall of a hollow viscus. A dull or aching pain may also be felt due to a stretch in the liver and spleen capsules."
Abdominal pain,Causes,"The most frequent reasons for abdominal pain are gastroenteritis (13%), irritable bowel syndrome (8%), urinary tract problems (5%), inflammation of the stomach (5%) and constipation (5%). In about 30% of cases, the cause is not determined. About 10% of cases have a more serious cause including gallbladder (gallstones or biliary dyskinesia) or pancreas problems (4%), diverticulitis (3%), appendicitis (2%) and cancer (1%). More common in those who are older, ischemic colitis, mesenteric ischemia, and abdominal aortic aneurysms are other serious causes."
Abdominal pain,Mechanism,"Abdominal pain can be referred to as visceral pain or peritoneal pain. The contents of the abdomen can be divided into the foregut, midgut, and hindgut. The foregut contains the pharynx, lower respiratory tract, portions of the esophagus, stomach, portions of the duodenum (proximal), liver, biliary tract (including the gallbladder and bile ducts), and the pancreas. The midgut contains portions of the duodenum (distal), cecum, appendix, ascending colon, and first half of the transverse colon. The hindgut contains the distal half of the transverse colon, descending colon, sigmoid colon, rectum, and superior anal canal.
Each subsection of the gut has an associated visceral afferent nerve that transmits sensory information from the viscera to the spinal cord, traveling with the autonomic sympathetic nerves. The visceral sensory information from the gut traveling to the spinal cord, termed the visceral afferent, is non-specific and overlaps with the somatic afferent nerves, which are very specific. Therefore, visceral afferent information traveling to the spinal cord can present in the distribution of the somatic afferent nerve; this is why appendicitis initially presents with T10 periumbilical pain when it first begins and becomes T12 pain as the abdominal wall peritoneum (which is rich with somatic afferent nerves) is involved."
Abdominal pain,Diagnosis,"A thorough patient history and physical examination is used to better understand the underlying cause of abdominal pain.
The process of gathering a history may include:

Identifying more information about the chief complaint by eliciting a history of present illness; i.e. a narrative of the current symptoms such as the onset, location, duration, character, aggravating or relieving factors, and temporal nature of the pain. Identifying other possible factors may aid in the diagnosis of the underlying cause of abdominal pain, such as recent travel, recent contact with other ill individuals, and for females, a thorough gynecologic history.
Learning about the patient's past medical history, focusing on any prior issues or surgical procedures.
Clarifying the patient's current medication regimen, including prescriptions, over-the-counter medications, and supplements.
Confirming the patient's drug and food allergies.
Discussing with the patient any family history of disease processes, focusing on conditions that might resemble the patient's current presentation.
Discussing with the patient any health-related behaviors (e.g. tobacco use, alcohol consumption, drug use, and sexual activity) that might make certain diagnoses more likely.
Reviewing the presence of non-abdominal symptoms (e.g., fever, chills, chest pain, shortness of breath, vaginal bleeding) that can further clarify the diagnostic picture.
Using Carnett's sign to differentiate between visceral pain and pain originating in the muscles of the abdominal wall.
After gathering a thorough history, one should perform a physical exam in order to identify important physical signs that might clarify the diagnosis, including a cardiovascular exam, lung exam, thorough abdominal exam, and for females, a genitourinary exam.
Additional investigations that can aid diagnosis include:

Blood tests including complete blood count, basic metabolic panel, electrolytes, liver function tests, amylase, lipase, troponin I, and for females, a serum pregnancy test.
Urinalysis
Imaging including chest and abdominal X-rays
Electrocardiogram
If diagnosis remains unclear after history, examination, and basic investigations as above, then more advanced investigations may reveal a diagnosis. Such tests include:

Computed tomography of the abdomen/pelvis
Abdominal or pelvic ultrasound
Endoscopy or colonoscopy"
Abdominal pain,Management,"The management of abdominal pain depends on many factors, including the etiology of the pain. Some dietary changes that some may participate in are: resting after a meal, chewing food completely and slowly, and avoiding stressful and high excitement situations after a meal. Some at home strategies like these can avoid future abdominal issues, resulting in the need of professional assistance. In the emergency department, a person presenting with abdominal pain may initially require IV fluids due to decreased intake secondary to abdominal pain and possible emesis or vomiting. Treatment for abdominal pain includes analgesia, such as non-opioid (ketorolac) and opioid medications (morphine, fentanyl). Choice of analgesia is dependent on the cause of the pain, as ketorolac can worsen some intra-abdominal processes. Patients presenting to the emergency department with abdominal pain may receive a ""GI cocktail"" that includes an antacid (examples include omeprazole, ranitidine, magnesium hydroxide, and calcium chloride) and lidocaine. After addressing pain, there may be a role for antimicrobial treatment in some cases of abdominal pain. Butylscopolamine (Buscopan) is used to treat cramping abdominal pain with some success. Surgical management for causes of abdominal pain includes but is not limited to cholecystectomy, appendectomy, and exploratory laparotomy."
Abdominal pain,Outlook,"One well-known aspect of primary health care is its low prevalence of potentially dangerous abdominal pain causes. Patients with abdominal pain have a higher percentage of unexplained complaints (category ""no diagnosis"") than patients with other symptoms (such as dyspnea or chest pain). Most people who suffer from stomach pain have a benign issue, like dyspepsia. In general, it is discovered that 20% to 25% of patients with abdominal pain have a serious condition that necessitates admission to an acute care hospital."
Abdominal pain,Epidemiology,Abdominal pain is the reason about 3% of adults see their family physician. Rates of emergency department (ED) visits in the United States for abdominal pain increased 18% from 2006 through to 2011. This was the largest increase out of 20 common conditions seen in the ED. The rate of ED use for nausea and vomiting also increased 18%.
Abdominal pain,Summary,"Abdominal pain, also known as a stomach ache, is a symptom associated with both non-serious and serious medical issues. Since the abdomen contains most of the body's vital organs, it can be an indicator of a wide variety of diseases. Given that, approaching the examination of a person and planning of a differential diagnosis is extremely important.

Common causes of pain in the abdomen include gastroenteritis and irritable bowel syndrome. About 15% of people have a more serious underlying condition such as appendicitis, leaking or ruptured abdominal aortic aneurysm, diverticulitis, or ectopic pregnancy. In a third of cases, the exact cause is unclear."
Activated_partial_thromboplastin_time,Methodology,"Partial thromboplastin time is typically analyzed by a medical technologist or a laboratory technician on an automated instrument at 37 °C (as a nominal approximation of normal human body temperature). The test is termed ""partial"" due to the absence of tissue factor from the reaction mixture.

Blood is drawn into a test tube containing oxalate or citrate, molecules which act as an anticoagulant by binding the calcium in a sample. The blood is mixed, then centrifuged to separate blood cells from plasma (as partial thromboplastin time is most commonly measured using blood plasma).
A sample of the plasma is extracted from the test tube and placed into a measuring test tube.
Next, an excess of calcium (in a phospholipid suspension) is mixed into the plasma sample (to reverse the anticoagulant effect of the oxalate enabling the blood to clot again).
Finally, in order to activate the intrinsic pathway of coagulation, an activator (such as silica, celite, kaolin, ellagic acid) is added, and the time the sample takes to clot is measured optically. Some laboratories use a mechanical measurement, which eliminates interferences from lipemic and icteric samples."
Activated_partial_thromboplastin_time,Interpretation,"The typical reference range is between 25 seconds and 33 s (depending on laboratory). Longer times of up to 50 s do apply to infants. Shortening of the PTT is considered to have little clinical relevance, but some research indicates that it might increase risk of thromboembolism. Normal PTT requires the presence of the following coagulation factors: I, II, V, VIII, IX, X, XI and XII. Notably, deficiencies in factors VII or XIII will not be detected with the PTT test.
Prolonged aPTT may indicate:

use of heparin or warfarin (or contamination of the sample)
vitamin K deficiency
antiphospholipid antibody (especially lupus anticoagulant, which paradoxically increases propensity to thrombosis)
coagulation factor deficiency (e.g., haemophilia, cirrhosis, von Willebrand disease)
coagulation factor consumption (e.g., sepsis, disseminated intravascular coagulation)
presence of antibodies against coagulation factors (factor inhibitors)
To distinguish the above causes, mixing tests are performed, in which the patient's plasma is mixed (initially at a 50:50 dilution) with normal plasma. If the abnormality does not disappear, the sample is said to contain an ""inhibitor"" (either heparin, antiphospholipid antibodies or coagulation factor specific inhibitors), while if it does disappear a factor deficiency is more likely. Deficiencies of factors VIII, IX, XI and XII and rarely von Willebrand factor (if causing a low factor VIII level) may lead to a prolonged aPTT correcting on mixing studies.
The aPTT is usually normal in pregnancy but tends to slightly decrease in late pregnancy."
Activated_partial_thromboplastin_time,aPTT-based APC resistance test,The aPTT-based activated protein C (APC) resistance test is used in the diagnosis of APC resistance (APCR). It involves a modified aPTT test performed in the presence and absence of APC. The ratio of these aPTT values is calculated and is called the APC sensitivity ratio (APCsr) or simply APC ratio (APCr). This ratio is inversely related to the degree of APC resistance. The aPTT-based APC resistance test was developed in 1993.
Activated_partial_thromboplastin_time,History,The PTT was first described in 1953 by researchers at the University of North Carolina at Chapel Hill.
Activated_partial_thromboplastin_time,Summary,"The partial thromboplastin time (PTT), also known as the activated partial thromboplastin time (aPTT or APTT), is a blood test that characterizes coagulation of the blood. A historical name for this measure is the kaolin-cephalin clotting time (KCCT), reflecting kaolin and cephalin as materials historically used in the test. Apart from detecting abnormalities in blood clotting, partial thromboplastin time is also used to monitor the treatment effect of heparin, a widely prescribed drug that reduces blood's tendency to clot.
The PTT measures the overall speed at which blood clots form by means of two consecutive series of biochemical reactions known as the intrinsic pathway and common pathway of coagulation. The PTT indirectly measures action of the following coagulation factors: I (fibrinogen), II (prothrombin), V (proaccelerin), VIII (anti-hemophilic factor), X (Stuart–Prower factor), XI (plasma thromboplastin antecedent), and XII (Hageman factor).
The PTT is often used in conjunction with another measure of how quickly blood clotting takes place called the prothrombin time (PT). The PT measures the speed of clotting by means of the extrinsic pathway and common pathway."
Acute_lung_injury,Signs and symptoms,"The signs and symptoms of ARDS often begin within two hours of an inciting event, but have been known to take as long as 1–3 days; diagnostic criteria require a known insult to have happened within 7 days of the syndrome. Signs and symptoms may include shortness of breath, fast breathing, and a low oxygen level in the blood due to abnormal ventilation. Other common symptoms include muscle fatigue and general weakness, low blood pressure, a dry, hacking cough, and fever."
Acute_lung_injury,Causes,"There are direct and indirect causes of ARDS depending whether the lungs are initially affected. Direct causes include pneumonia (including bacterial and viral), aspiration, inhalational lung injury, lung contusion, chest trauma, and near-drowning. Indirect causes include sepsis, shock, pancreatitis, trauma (e.g. fat embolism), cardiopulmonary bypass, TRALI, burns, increased intracranial pressure. Fewer cases of ARDS are linked to large volumes of fluid used during post-trauma resuscitation."
Acute_lung_injury,Pathophysiology,"ARDS is a form of fluid accumulation in the lungs not explained by heart failure (noncardiogenic pulmonary edema). It is typically provoked by an acute injury to the lungs that results in flooding of the lungs' microscopic air sacs responsible for the exchange of gases such as oxygen and carbon dioxide with capillaries in the lungs. Additional common findings in ARDS include partial collapse of the alveoli (atelectasis) and low levels of oxygen in the blood (hypoxemia). The clinical syndrome is associated with pathological findings including pneumonia, eosinophilic pneumonia, cryptogenic organizing pneumonia, acute fibrinous organizing pneumonia, and diffuse alveolar damage (DAD). Of these, the pathology most commonly associated with ARDS is DAD, which is characterized by a diffuse inflammation of lung tissue. The triggering insult to the tissue usually results in an initial release of chemical signals and other inflammatory mediators secreted by local epithelial and endothelial cells.
Neutrophils and some T-lymphocytes quickly migrate into the inflamed lung tissue and contribute in the amplification of the phenomenon. The typical histological presentation involves diffuse alveolar damage and hyaline membrane formation in alveolar walls. Although the triggering mechanisms are not completely understood, recent research has examined the role of inflammation and mechanical stress.
One research group has reported that broncho-alveolar lavage fluid in later-stage ARDS often contains trichomonads, in an amoeboid form (i.e. lacking their characteristic flagellum) which makes them difficult to identify under the microscope."
Acute_lung_injury,Treatment,"Acute respiratory distress syndrome is usually treated with mechanical ventilation in the intensive care unit (ICU). Mechanical ventilation is usually delivered through a rigid tube which enters the oral cavity and is secured in the airway (endotracheal intubation), or by tracheostomy when prolonged ventilation (≥2 weeks) is necessary. The role of non-invasive ventilation is limited to the very early period of the disease or to prevent worsening respiratory distress in individuals with atypical pneumonias, lung bruising, or major surgery patients, who are at risk of developing ARDS. Treatment of the underlying cause is crucial. Appropriate antibiotic therapy is started as soon as culture results are available, or if infection is suspected (whichever is earlier). Empirical therapy may be appropriate if local microbiological surveillance is efficient. Where possible the origin of the infection is removed. When sepsis is diagnosed, appropriate local protocols are followed."
Acute_lung_injury,Prognosis,"The overall prognosis of ARDS is poor, with mortality rates of approximately 40%. Exercise limitation, physical and psychological sequelae, decreased physical quality of life, and increased costs and use of health care services are important sequelae of ARDS."
Acute_lung_injury,Epidemiology,"The annual rate of ARDS is generally  13–23 people per 100,000 in the general population. It is more common in people who are mechanically ventilated with acute lung injury (ALI) occurring in 16% of ventilated people. Rates increased in 2020 due to COVID-19, with some cases also appearing similar to HAPE.
Worldwide, severe sepsis is the most common trigger causing ARDS.  Other triggers include mechanical ventilation, sepsis, pneumonia, Gilchrist's disease, drowning, circulatory shock, aspiration, trauma—especially pulmonary contusion—major surgery, massive blood transfusions, smoke inhalation, drug reaction or overdose, fat emboli and reperfusion pulmonary edema after lung transplantation or pulmonary embolectomy. However, the majority of patients with all these conditions mentioned do not develop ARDS. It is unclear why some people with the mentioned factors above do not develop ARDS and others do.
Pneumonia and sepsis are the most common triggers, and pneumonia is present in up to 60% of patients and may be either causes or complications of ARDS. Alcohol excess appears to increase the risk of ARDS. Diabetes was originally thought to decrease the risk of ARDS, but this has shown to be due to an increase in the risk of pulmonary edema.  Elevated abdominal pressure of any cause is also probably a risk factor for the development of ARDS, particularly during mechanical ventilation."
Acute_lung_injury,History,"Acute respiratory distress syndrome was first described in 1967 by Ashbaugh et al. Initially there was no clearly established definition, which resulted in controversy regarding the incidence and death of ARDS.
In 1988, an expanded definition was proposed, which quantified physiologic respiratory impairment."
Acute_lung_injury,Terminology,"ARDS is the severe form of acute lung injury (ALI), and of transfusion-related acute lung injury (TRALI), though there are other causes. The Berlin definition included ALI as a mild form of ARDS. However, the criteria for the diagnosis of ARDS in the Berlin definition excludes many children, and a new definition for children was termed pediatric acute respiratory distress syndrome (PARDS); this is known as the PALICC definition (2015)."
Acute_lung_injury,Research directions,"There is ongoing research on the treatment of ARDS by interferon (IFN) beta-1a to aid in preventing leakage of vascular beds. Traumakine (FP-1201-lyo) is a recombinant human IFN beta-1a drug, developed by the Finnish company Faron Pharmaceuticals, which is undergoing international phase-III clinical trials after an open-label, early-phase trial showed an 81% reduction-in-odds of 28-day mortality in ICU patients with ARDS. The drug is known to function by enhancing lung CD73 expression and increasing production of anti-inflammatory adenosine, such that vascular leaking and escalation of inflammation are reduced.
Aspirin has been studied in those who are at high risk and was not found to be useful.
An intravenous ascorbic acid treatment was tested in the 2019 RCT, in people with ARDS due to sepsis and there was no change in primary endpoints."
Acute_lung_injury,Summary,"Acute respiratory distress syndrome (ARDS) is a type of respiratory failure characterized by rapid onset of widespread inflammation in the lungs. Symptoms include shortness of breath (dyspnea), rapid breathing (tachypnea), and bluish skin coloration (cyanosis). For those who survive, a decreased quality of life is common.
Causes may include sepsis, pancreatitis, trauma, pneumonia, and aspiration. The underlying mechanism involves diffuse injury to cells which form the barrier of the microscopic air sacs of the lungs, surfactant dysfunction, activation of the immune system, and dysfunction of the body's regulation of blood clotting. In effect, ARDS impairs the lungs' ability to exchange oxygen and carbon dioxide. Adult diagnosis is based on a PaO2/FiO2 ratio (ratio of partial pressure arterial oxygen and fraction of inspired oxygen) of less than 300 mm Hg despite a positive end-expiratory pressure (PEEP) of more than 5 cm H2O. Cardiogenic pulmonary edema, as the cause, must be excluded.
The primary treatment involves mechanical ventilation together with treatments directed at the underlying cause. Ventilation strategies include using low volumes and low pressures. If oxygenation remains insufficient, lung recruitment maneuvers and neuromuscular blockers may be used. If these are insufficient, extracorporeal membrane oxygenation (ECMO) may be an option. The syndrome is associated with a death rate between 35 and 50%.
Globally, ARDS affects more than 3 million people a year. The condition was first described in 1967. Although the terminology of ""adult respiratory distress syndrome"" has at times been used to differentiate ARDS from ""infant respiratory distress syndrome"" in newborns, the international consensus is that ""acute respiratory distress syndrome"" is the best term because ARDS can affect people of all ages. There are separate diagnostic criteria for children and those in areas of the world with fewer resources."
Acute_lymphoblastic_leukemia,Signs and symptoms,"Initial symptoms can be nonspecific, particularly in children. Over 50% of children with leukemia had one or more of five features: a liver one can feel (64%), a spleen one can feel (61%), pale complexion (54%), fever (53%), and bruising (52%). Additionally, recurrent infections, feeling tired, arm or leg pain, and enlarged lymph nodes can be prominent features. The B symptoms, such as fever, night sweats, and weight loss, are often present as well.
Central nervous system (CNS) symptoms such as cranial neuropathies due to meningeal infiltration are identified in less than 10% of adults and less than 5% of children, particularly mature B-cell ALL (Burkitt leukemia) at presentation.
The signs and symptoms of acute lymphoblastic leukemia are variable and include:

Generalized weakness and feeling tired
Anemia
Dizziness
Headache, vomiting, lethargy, neck stiffness, or cranial nerve palsies (CNS involvement)
Frequent or unexplained fever and infection
Weight loss and/or loss of appetite
Excessive and unexplained bruising
Bone pain, joint pain (caused by the spread of ""blast"" cells to the surface of the bone or into the joint from the marrow cavity)
Breathlessness
Enlarged lymph nodes, liver, and/or spleen
Pitting edema (swelling) in the lower limbs and/or abdomen
Petechiae, which are tiny red spots or lines in the skin due to low platelet levels
Testicular enlargement
Mediastinal mass"
Acute_lymphoblastic_leukemia,Cause,"The cancerous cell in ALL is the lymphoblast. Normal lymphoblasts develop into mature, infection-fighting B-cells or T-cells, also called lymphocytes. Signals in the body control the number of lymphocytes so neither too few nor too many are made. In ALL, both the normal development of some lymphocytes and the control over the number of lymphoid cells become defective.
Acute lymphoblastic leukemia emerges when a single lymphoblast gains many mutations to genes that affect blood cell development and proliferation. In childhood ALL, this process begins at conception with the inheritance of some of these genes. These genes, in turn, increase the risk that more mutations will occur in developing lymphoid cells. Certain genetic syndromes, like Down Syndrome, have the same effect. Environmental risk factors are also needed to help create enough genetic mutations to cause disease. Evidence for the role of the environment is seen in childhood ALL among twins, where only 10–15% of both genetically identical twins get ALL. Since they have the same genes, different environmental exposures explain why one twin gets ALL and the other does not.
Infant ALL is a rare variant that occurs in babies less than one year old. KMT2A (formerly MLL) gene rearrangements are most common and occur in the embryo or fetus before birth. These rearrangements result in increased expression of blood cell development genes by promoting gene transcription and through epigenetic changes. In contrast to childhood ALL, environmental factors are not thought to play a significant role. Aside from the KMT2A rearrangement, only one extra mutation is typically found. Environmental exposures are not needed to help create more mutations."
Acute_lymphoblastic_leukemia,Mechanism,"Several characteristic genetic changes lead to the creation of a leukemic lymphoblast. These changes include chromosomal translocations, intrachromosomal rearrangements, changes in the number of chromosomes in leukemic cells, and additional mutations in individual genes. Chromosomal translocations involve moving a large region of DNA from one chromosome to another. This move can result in placing a gene from one chromosome that promotes cell division to a more actively transcribed area on another chromosome. The result is a cell that divides more often. An example of this includes the translocation of C-MYC, a gene that encodes a transcription factor that leads to increased cell division, next to the immunoglobulin heavy- or light-chain gene enhancers, leading to increased C-MYC expression and increased cell division. Other large changes in chromosomal structure can result in the placement of two genes directly next to each other. The result is the combination of two usually separate proteins into a new fusion protein. This protein can have a new function that promotes the development of cancer. Examples of this include the ETV6–RUNX1 fusion gene that combines two factors that promote blood cell development and the BCR-ABL1 fusion gene of the Philadelphia chromosome. BCR–ABL1 encodes an always-activated tyrosine kinase that causes frequent cell division. These mutations produce a cell that divides more often, even in the absence of growth factors.
Other genetic changes in B-cell ALL include changes to the number of chromosomes within the leukemic cells. Gaining at least five additional chromosomes, called high hyperdiploidy, occurs more commonly. Less often, chromosomes are lost, called hypodiploidy, which is associated with a poorer prognosis. Additional common genetic changes in B-cell ALL involve non-inherited mutations to PAX5 and IKZF1. In T-cell ALL, LYL1, TAL1, TLX1, and TLX3 rearrangements can occur.
Acute lymphoblastic leukemia results when enough of these genetic changes are present in a single lymphoblast. In childhood ALL, for example, one fusion gene translocation is often found along with six to eight other ALL-related genetic changes. The initial leukemic lymphoblast copies itself into an excessive number of new lymphoblasts, none of which can develop into functioning lymphocytes. These lymphoblasts build up in the bone marrow and may spread to other sites in the body, such as lymph nodes, the mediastinum, the spleen, the testicles, and the brain, leading to the common symptoms of the disease."
Acute_lymphoblastic_leukemia,Diagnosis,"Diagnosing ALL begins with a thorough medical history, physical examination, complete blood count, and blood smears. While many symptoms of ALL can be found in common illnesses, persistent or unexplained symptoms raise suspicion of cancer. Because many features on the medical history and exam are not specific to ALL, further testing is often needed. A large number of white blood cells and lymphoblasts in the circulating blood can be suspicious for ALL because they indicate a rapid production of lymphoid cells in the marrow. The higher these numbers typically point to a worse prognosis. While white blood cell counts at initial presentation can vary significantly, circulating lymphoblast cells are seen on peripheral blood smears in the majority of cases.
A bone marrow biopsy provides conclusive proof of ALL, typically with >20% of all cells being leukemic lymphoblasts. A lumbar puncture (also known as a spinal tap) can determine whether the spinal column and brain have been invaded. Brain and spinal column involvement can be diagnosed either through confirmation of leukemic cells in the lumbar puncture or through clinical signs of CNS leukemia as described above. Laboratory tests that might show abnormalities include blood count, kidney function, electrolyte, and liver enzyme tests.
Pathological examination, cytogenetics (in particular the presence of Philadelphia chromosome), and immunophenotyping establish whether the leukemic cells are myeloblastic (neutrophils, eosinophils, or basophils) or lymphoblastic (B lymphocytes or T lymphocytes). Cytogenetic testing on the marrow samples can help classify disease and predict how aggressive the disease course will be. Different mutations have been associated with shorter or longer survival. Immunohistochemical testing may reveal TdT or CALLA antigens on the surface of leukemic cells. TdT is a protein expressed early in the development of pre-T and pre-B cells, whereas CALLA is an antigen found in 80% of ALL cases and also in the ""blast crisis"" of CML.
Medical imaging (such as ultrasound or CT scanning) can find invasion of other organs, commonly the lungs, liver, spleen, lymph nodes, brain, kidneys, and reproductive organs."
Acute_lymphoblastic_leukemia,Treatment,"The aim of treatment is to induce a lasting remission, defined as the absence of detectable cancer cells in the body (usually less than 5% blast cells in the bone marrow) or the absence of minimal residue disease.
Over the past several decades, there have been strides to increase the efficacy of treatment regimens, resulting in increased survival rates. Possible treatments for acute leukemia include chemotherapy, steroids, radiation therapy, intensive combined treatments (including bone marrow or stem cell transplants), targeted therapy, and/or growth factors."
